iri	kind	section	hierarchy	pcf	label	parents	wiring	definition
ex:Market	other	2			Market	obo:BFO_0000027		An Object Aggregate of the buyers, sellers, and offerings within which an organization's products or services compete.
ex:Offering	other	3			Offering (product)	obo:BFO_0000040		A Material Entity that an organization produces or provides and markets and sells to customers.
ex:ProductSample	other	4			Product Sample	cco:ont00000995;obo:BFO_0000040		A Material Artifact consisting of a set of elements drawn from a product lot in order to infer the quality of the lot.
ex:ProductServiceOffering	other	2			Product/Service Offering	obo:BFO_0000001		An Entity that is a product or service offered, or proposed to be offered, by an organization to its customers.
ex:ProductServicePrototype	other	2			Product/Service Prototype	cco:ont00000995		A Material Artifact that is an early built instance of a prospective product or service produced to demonstrate and test its design.
ex:ProductionEquipment	other	2			Production Equipment	cco:ont00000995		A Material Artifact that is machinery or tooling used to manufacture or deliver a product or service.
ex:ProductionFacility	other	4			Production Facility	cco:ont00000192;obo:BFO_0000040		A Facility designed for processing inventory into finished products or services.
ex:ProductionLot	other	4			Production Lot	cco:ont00000995;obo:BFO_0000040		A Material Artifact consisting of a particular production unit of an assembly that is planned and manufactured together and tracked under a single lot number.
ex:ProductiveAsset	other	10			Productive Asset	cco:ont00000995		A Material Artifact, such as a machine, tool, or factory, that an organization constructs, acquires, operates, maintains, and ultimately disposes of in the cour
ex:RawMaterial	other	2			Raw Material	obo:BFO_0000040		A Material Entity that is feedstock or input material consumed in producing a finished product.
ex:RealProperty	other	10			Real Property	obo:BFO_0000040		A Material Entity, comprising land together with any buildings or fixtures on it, that an organization may build, buy, lease, retain, or dispose of.
ex:RecoveredMaterial	other	10			Recovered Material	obo:BFO_0000040		A Material Entity recovered from end-of-life asset parts for reuse or recycling into new material stock.
ex:RegulatoryBody	other	6			Regulatory Body	cco:ont00000408		A Government Organization that is responsible for the oversight, regulation, or auditing of an industry and to which incidents, risks, and recall reports are su
ex:ReturnedProduct	other	4			Returned Product	cco:ont00000995;obo:BFO_0000040		A Material Artifact that has been returned by a buyer to the seller or an intermediary, pending inspection, salvage, repair, or restocking.
ex:Risk	other	11			Risk	obo:BFO_0000017		A Realizable Entity that is the disposition of some entity to give rise, under specified conditions, to an adverse or uncertain consequence for an organization'
ex:ServiceDeliverySolution	other	5			Service Delivery Solution (deployed artifact)	obo:BFO_0000040		A Material Entity (a built or purchased artifact) that is deployed to a customer to fulfil a service-delivery need.
ex:StrategyReviewReport	other	1			Strategy Review Report	ex:PerformanceReport		A Performance Report that describes an evaluation of an organization's business objectives and strategies and is about the business strategy reviewed.
ex:TrainingMaterial	other	5			Training Material	cco:ont00000253;obo:BFO_0000040		An Information Bearing Entity (manual, slide deck, e-learning file, workbook, CBT module) produced to support the comprehensive training of personnel in skills 
ex:TransportationVehicle	other	4			Transportation Vehicle	cco:ont00000713;obo:BFO_0000040		A Vehicle used to convey inbound or outbound products between supply-chain locations.
ex:UnconstrainedMaterialsPlan	other	4			Unconstrained Materials Plan	ex:MaterialsPlan		A Materials Plan that prescribes raw-material and inventory provision to meet market demand without yet accounting for supply-chain constraints.
ex:Warehouse	other	4			Warehouse	cco:ont00000192;obo:BFO_0000040		A Facility designed for the storage, handling, and movement of inventory and finished goods.
ex:WasteMaterial	other	10			Waste Material	cco:ont00000980		A Portion of Waste Material that arises from asset end-of-life activities and is subject to disposition, disposal, or reprocessing under regulatory requirements
ex:Workspace	other	10			Workspace	cco:ont00000192		A Facility, together with its supporting assets such as furniture and equipment, provided to occupants to perform work.
ex:AuthorArchitecture	process	delivery			Author architecture	ex:ActOfFormulation	req-cap:ex:ArchitectureCapability;req-role:ex:ArchitectRole	An Act of Formulation in which an architect agent composes a build's structural plan - its module boundaries, exported interfaces, and layering - from a normati
ex:AuthorImplementationPlan	process	delivery			Author implementation plan	ex:ActOfFormulation	req-cap:ex:PlanAuthoringCapability;req-role:ex:PlannerRole	An Act of Formulation in which a planning agent composes a tactical implementation plan, with falsifiable acceptance criteria, for a roadmap phase.
ex:AuthorRoadmap	process	delivery			Author roadmap	ex:ActOfFormulation	req-cap:ex:PlanAuthoringCapability;req-role:ex:PlannerRole	An Act of Formulation in which a planning agent composes a phased roadmap from a normative specification.
ex:CultivateAnalystRelations	process	12			Cultivate Analyst Relations	ex:ActOfRelationshipManagement	req-role:ex:FinancialAnalystRole	An Act of Relationship Management that cultivates and sustains an organization's relationship with one or more financial analysts during a bounded engagement ep
ex:CultivateLenderRelations	process	12			Cultivate Lender Relations	ex:ActOfRelationshipManagement	req-role:ex:LenderRole	An Act of Relationship Management that cultivates and sustains an organization's relationship with one or more lenders during a bounded engagement episode, fost
ex:DetermineLegalWorkRequirements	process	12			Determine legal work requirements	ex:ActOfFormulation		An Act of Formulation that determines and specifies the tasks and action requirements for engaging outside counsel on a legal problem and has as output a work r
ex:EvaluateOutput	process	delivery			Evaluate output	ex:ActOfVerification	req-cap:ex:EvaluationCapability;req-role:ex:EvaluatorRole	An Act of Verification in which an evaluator agent appraises an artifact against its acceptance criteria and records a verdict.
ex:ImplementPhase	process	delivery			Implement phase	ex:ActOfDevelopment	req-cap:ex:CodeImplementationCapability;req-role:ex:DeveloperRole	An Act of Development in which a developer agent brings a planned module from its implementation plan into an existent working code change set.
